# SETUP BEGIN
# File Stream: file_name: ../datasets/covtype.csv  -  num_classes: 7  -  num_classification_tasks: 1
# Pipeline: OneHotToCategorical: categorical_list: [[10, 11, 12, 13], [14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]] #### KNN Classifier: max_window_size: 1000 - leaf_size: 30
# Prequential Evaluator: n_wait: 200 - max_instances: 1000 - max_time: 1000 - output_file: teste.csv - batch_size: 1 - pretrain_size: 2000 - task_type: classification - show_plotTrue - plot_options: ['performance', 'kappa_t']
# SETUP END
x_count,global_performance_0,sliding_window_performance_0,global_performance_1,sliding_window_performance_1,global_kappa_t_0,sliding_window_kappa_t_0,global_kappa_t_1,sliding_window_kappa_t_1
200,0.49,0.49,0.84,0.84,0.047,0.047,0.701,0.701
400,0.545,0.6,0.822,0.805,-0.058,-0.231,0.587,0.4
600,0.585,0.665,0.81,0.785,-0.073,-0.117,0.509,0.283
800,0.598,0.635,0.782,0.7,-0.059,-0.014,0.428,0.167
